what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331383355122
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331383355893
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1331383357472
activated,editor,com.aptana.ide.editor.js,2.0.0.1278523018,"com.aptana.ide.editors.JSEditor",1331383357939
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1331383358600
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1331383359086
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1331383409053
activated,editor,com.aptana.ide.editor.html,2.0.0.1278523018,"com.aptana.ide.editors.HTMLEditor",1331383416461
executed,command,com.aptana.ide.editors,2.0.5.1278523018,"com.aptana.ide.editors.nextMultipageEditorTab",1331383417004
executed,command,com.aptana.ide.editors,2.0.5.1278523018,"com.aptana.ide.editors.nextMultipageEditorTab",1331383417291
executed,command,com.aptana.ide.editors,2.0.5.1278523018,"com.aptana.ide.editors.nextMultipageEditorTab",1331383417764
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331383417823
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331383418782
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331383418806
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331383419129
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331383419149
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331383419602
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331383419620
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331383420139
executed,command,com.aptana.ide.editors,2.0.5.1278523018,"com.aptana.ide.editors.nextMultipageEditorTab",1331383420631
executed,command,com.aptana.ide.editors,2.0.5.1278523018,"com.aptana.ide.editors.nextMultipageEditorTab",1331383421189
activated,editor,com.aptana.ide.editor.js,2.0.0.1278523018,"com.aptana.ide.editors.JSEditor",1331383424035
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1331383425986
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1331383459669
activated,editor,com.aptana.ide.editor.html,2.0.0.1278523018,"com.aptana.ide.editors.HTMLEditor",1331383460687
executed,command,com.aptana.ide.editors,2.0.5.1278523018,"com.aptana.ide.editors.nextMultipageEditorTab",1331383460932
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331383460984
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331383461699
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331383461716
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331383461969
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331383461986
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331383462395
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331383462413
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331383462933
executed,command,com.aptana.ide.editors,2.0.5.1278523018,"com.aptana.ide.editors.nextMultipageEditorTab",1331383463501
executed,command,com.aptana.ide.editors,2.0.5.1278523018,"com.aptana.ide.editors.nextMultipageEditorTab",1331383464025
